Codigo,Nombre_Comercial,Nombre_Generico,Marca,Concentracion,Forma_Farmaceutica,Categoria,Fabricante,Proveedor_Principal,Descripcion,Ingredientes_Activos,Indicaciones,Contraindicaciones,Efectos_Secundarios,Instrucciones_Dosificacion,Condicion_Almacenamiento,Requiere_Receta,Sustancia_Controlada,Programa_Control
IRU-MED-081,Ondansetrón,Ondansetrón,,,Tableta,Gastrointestinal,,,,,,,,,,,,
IRU-MED-082,Sonda con Cánula Nasal #3,Sonda con Cánula Nasal #3,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-083,Pregabalina,Pregabalina,,,Tableta,Neurológico,,,,,,,,,,,,
IRU-MED-084,Vitamina A,Vitamina A,,,Tableta,Suplemento,,,,,,,,,,,,
IRU-MED-085,Espéculo para PAP,Espéculo para PAP,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-086,Terracolin Suspensión,Terracolin,,,Suspensión,Antibiótico,,,,,,,,,,,,
IRU-MED-087,Hystadin Suspensión,Hystadin,,,Suspensión,Antihistamínico,,,,,,,,,,,,
IRU-MED-088,Dolocadma Tubo,Dolocadma,,,Crema / Pomada,Analgésico,,,,,,,,,,,,
IRU-MED-089,Vitamina C Blíster,Vitamina C,,,Tableta,Suplemento,,,,,,,,,,,,
IRU-MED-090,Producto D,Producto D,,,Otro,Otro,,,,,,,,,,,,
