Codigo_Medicamento,Numero_Lote,Cantidad,Costo_Unitario,Precio_Venta,Fecha_Vencimiento,Fecha_Recepcion,Lote_Proveedor,Ubicacion_Fisica,Stock_Minimo
CHU-260,LOTE-CHU-2024-175,2,36.00,45.00,2027-12-31,2024-01-15,,Bodega,2
CHU-261,LOTE-CHU-2024-176,5,52.00,65.00,2027-12-31,2024-01-15,,Bodega,5
CHU-262,LOTE-CHU-2024-177,2,44.00,55.00,2027-12-31,2024-01-15,,Bodega,2
CHU-263,LOTE-CHU-2024-178,15,20.00,25.00,2027-12-31,2024-01-15,,Bodega,10
CHU-264,LOTE-CHU-2024-179,4,96.00,120.00,2027-12-31,2024-01-15,,Bodega,3
CHU-266,LOTE-CHU-2024-180,13,120.00,150.00,2026-12-31,2024-01-15,,Refrigerador,5
CHU-267,LOTE-CHU-2024-181,55,4.00,5.00,2026-12-31,2024-01-15,,Farmacia,15
CHU-268,LOTE-CHU-2024-182,222,20.00,25.00,2026-12-31,2024-01-15,,Refrigerador,30
CHU-269,LOTE-CHU-2024-183,64,2.00,2.50,2026-12-31,2024-01-15,,Farmacia,15
CHU-270,LOTE-CHU-2024-184,204,3.20,4.00,2026-12-31,2024-01-15,,Refrigerador,30
CHU-271,LOTE-CHU-2024-185,2,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-273,LOTE-CHU-2024-186,72,4.00,5.00,2026-12-31,2024-01-15,,Refrigerador,15
CHU-275,LOTE-CHU-2024-187,390,4.00,5.00,2026-12-31,2024-01-15,,Bodega,50
CHU-276,LOTE-CHU-2024-188,134,2.40,3.00,2027-12-31,2024-01-15,,Farmacia,30
CHU-277,LOTE-CHU-2024-189,4,56.00,70.00,2027-12-31,2024-01-15,,Farmacia,3
CHU-279,LOTE-CHU-2024-190,1,56.00,70.00,2026-12-31,2024-01-15,,Bodega,2
CHU-280,LOTE-CHU-2024-191,1,40.00,50.00,2026-12-31,2024-01-15,,Bodega,2
CHU-282,LOTE-CHU-2024-192,2,60.00,75.00,2027-12-31,2024-01-15,,Bodega,2
CHU-283,LOTE-CHU-2024-193,1,60.00,75.00,2027-12-31,2024-01-15,,Bodega,2
CHU-284,LOTE-CHU-2024-194,103,2.40,3.00,2027-12-31,2024-01-15,,Farmacia,20
CHU-288,LOTE-CHU-2024-195,113,20.00,25.00,2027-12-31,2024-01-15,,Bodega,15
CHU-291,LOTE-CHU-2024-196,452,3.20,4.00,2027-12-31,2024-01-15,,Farmacia,50
CHU-292,LOTE-CHU-2024-197,1,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-296,LOTE-CHU-2024-198,7,32.00,40.00,2027-12-31,2024-01-15,,Farmacia,5
CHU-297,LOTE-CHU-2024-199,2,32.00,40.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-298,LOTE-CHU-2024-200,5,48.00,60.00,2027-12-31,2024-01-15,,Bodega,3
CHU-299,LOTE-CHU-2024-201,1,40.00,50.00,2026-12-31,2024-01-15,,Bodega,2
CHU-300,LOTE-CHU-2024-202,3,64.00,80.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-301,LOTE-CHU-2024-203,1,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-304,LOTE-CHU-2024-204,87,3.20,4.00,2026-12-31,2024-01-15,,Refrigerador,15
CHU-311,LOTE-CHU-2024-205,10,20.00,25.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-315,LOTE-CHU-2024-206,27,20.00,25.00,2026-12-31,2024-01-15,,Refrigerador,10
CHU-316,LOTE-CHU-2024-207,3,56.00,70.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-317,LOTE-CHU-2024-208,7,24.00,30.00,2026-12-31,2024-01-15,,Refrigerador,5
CHU-323,LOTE-CHU-2024-209,64,1.20,1.50,2026-12-31,2024-01-15,,Farmacia,20
CHU-324,LOTE-CHU-2024-210,55,1.20,1.50,2026-12-31,2024-01-15,,Farmacia,20
CHU-325,LOTE-CHU-2024-211,33,3.60,4.50,2026-12-31,2024-01-15,,Farmacia,10
CHU-326,LOTE-CHU-2024-212,19,3.20,4.00,2027-12-31,2024-01-15,,Bodega,10
CHU-329,LOTE-CHU-2024-213,14,44.00,55.00,2027-12-31,2024-01-15,,Bodega,10
CHU-330,LOTE-CHU-2024-214,22,28.00,35.00,2027-12-31,2024-01-15,,Bodega,10
CHU-333,LOTE-CHU-2024-215,100,4.00,5.00,2026-12-31,2024-01-15,,Farmacia,20
CHU-334,LOTE-CHU-2024-216,12,4.00,5.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-335,LOTE-CHU-2024-217,130,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,20
CHU-338,LOTE-CHU-2024-218,2,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-339,LOTE-CHU-2024-219,9,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-340,LOTE-CHU-2024-220,2,5.60,7.00,2027-12-31,2024-01-15,,Bodega,2
CHU-341,LOTE-CHU-2024-221,2,56.00,70.00,2027-12-31,2024-01-15,,Bodega,2
CHU-347,LOTE-CHU-2024-222,28,28.00,35.00,2025-12-31,2024-01-15,,Refrigerador,10
CHU-348,LOTE-CHU-2024-223,90,40.00,50.00,2025-12-31,2024-01-15,,Refrigerador,20
CHU-349,LOTE-CHU-2024-224,9,120.00,150.00,2025-12-31,2024-01-15,,Refrigerador,5
CHU-350,LOTE-CHU-2024-225,8,120.00,150.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-351,LOTE-CHU-2024-226,8,14.40,18.00,2027-12-31,2024-01-15,,Bodega,5
