Codigo_Medicamento,Numero_Lote,Cantidad,Costo_Unitario,Precio_Venta,Fecha_Vencimiento,Fecha_Recepcion,Lote_Proveedor,Ubicacion_Fisica,Stock_Minimo
CHU-114,LOTE-CHU-2024-084,13,6.40,8.00,2027-12-31,2024-01-15,,Bodega,10
CHU-115,LOTE-CHU-2024-085,22,9.60,12.00,2027-12-31,2024-01-15,,Bodega,10
CHU-116,LOTE-CHU-2024-086,34,5.60,7.00,2027-12-31,2024-01-15,,Bodega,10
CHU-121,LOTE-CHU-2024-087,1,20.00,25.00,2027-12-31,2024-01-15,,Bodega,2
CHU-132,LOTE-CHU-2024-088,41,12.00,15.00,2027-12-31,2024-01-15,,Farmacia,10
CHU-133,LOTE-CHU-2024-089,4,3.20,4.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-134,LOTE-CHU-2024-090,4,5.60,7.00,2026-12-31,2024-01-15,,Bodega,3
CHU-135,LOTE-CHU-2024-091,3,13.60,17.00,2026-12-31,2024-01-15,,Bodega,3
CHU-136,LOTE-CHU-2024-092,1,12.80,16.00,2026-12-31,2024-01-15,,Bodega,2
CHU-137,LOTE-CHU-2024-093,1,12.00,15.00,2026-12-31,2024-01-15,,Bodega,2
CHU-138,LOTE-CHU-2024-094,2,5.60,7.00,2026-12-31,2024-01-15,,Bodega,2
CHU-139,LOTE-CHU-2024-095,2,12.00,15.00,2026-12-31,2024-01-15,,Bodega,2
CHU-143,LOTE-CHU-2024-096,7,64.00,80.00,2026-12-31,2024-01-15,,Refrigerador,5
CHU-144,LOTE-CHU-2024-097,7,64.00,80.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-145,LOTE-CHU-2024-098,28,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-148,LOTE-CHU-2024-099,9,3.20,4.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-149,LOTE-CHU-2024-100,95,20.00,25.00,2026-12-31,2024-01-15,,Farmacia,20
CHU-150,LOTE-CHU-2024-101,11,32.00,40.00,2026-12-31,2024-01-15,,Refrigerador,5
CHU-151,LOTE-CHU-2024-102,2,5.60,7.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-152,LOTE-CHU-2024-103,2,5.60,7.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-153,LOTE-CHU-2024-104,17,2.40,3.00,2026-12-31,2024-01-15,,Refrigerador,5
CHU-154,LOTE-CHU-2024-105,198,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,30
CHU-157,LOTE-CHU-2024-106,46,4.00,5.00,2027-12-31,2024-01-15,,Farmacia,10
CHU-159,LOTE-CHU-2024-107,2,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-160,LOTE-CHU-2024-108,7,1.60,2.00,2026-12-31,2024-01-15,,Refrigerador,5
CHU-161,LOTE-CHU-2024-109,90,60.00,75.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-162,LOTE-CHU-2024-110,205,1.60,2.00,2026-12-31,2024-01-15,,Refrigerador,30
CHU-163,LOTE-CHU-2024-111,1040,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,100
CHU-164,LOTE-CHU-2024-112,14,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-165,LOTE-CHU-2024-113,100,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,20
CHU-166,LOTE-CHU-2024-114,7,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-167,LOTE-CHU-2024-115,100,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,20
CHU-170,LOTE-CHU-2024-116,143,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,20
